,activityID,heart_rate,hand temperature (°C),hand acceleration X ±16g,hand acceleration Y ±16g,hand acceleration Z ±16g,hand gyroscope X,hand gyroscope Y,hand gyroscope Z,hand magnetometer X,hand magnetometer Y,hand magnetometer Z,chest temperature (°C),chest acceleration X ±16g,chest acceleration Y ±16g,chest acceleration Z ±16g,chest gyroscope X,chest gyroscope Y,chest gyroscope Z,chest magnetometer X,chest magnetometer Y,chest magnetometer Z,ankle temperature (°C),ankle acceleration X ±16g,ankle acceleration Y ±16g,ankle acceleration Z ±16g,ankle gyroscope X,ankle gyroscope Y,ankle gyroscope Z,ankle magnetometer X,ankle magnetometer Y,ankle magnetometer Z
1757966,7,167.0,33.8125,8.36607,3.11537,2.11776,0.473882,-0.00375474,0.0631264,25.0571,-38.3149,-18.5491,36.375,1.90421,-5.42803,-3.19684,0.248901,0.486309,0.76383,-7.16134,-40.3107,-2.93168,34.0625,1.67215,50.0438,-15.7068,0.0697826,-0.409053,0.260669,-32.0804,34.8361,15.1546
1946841,1,95.0,33.75,-12.6576,9.64553,-3.14557,-0.515233,-1.23436,0.673111,47.0616,-35.8941,-23.5951,36.8125,4.16619,14.1158,-1.9416,0.433036,2.39167,-0.222245,-11.6824,-46.3164,-19.8496,35.1875,11.9183,4.51374,0.541106,-0.310534,-0.349882,-1.36409,-68.7136,22.6255,13.6215
616284,10,114.0,32.4375,-8.12503,5.56741,-1.21653,1.01664,-0.512794,0.0287144,48.9271,-22.4163,-33.4832,37.125,0.814369,9.9323,-4.11837,0.218511,-0.342686,-0.0654971,20.1334,-47.413,1.54926,35.0,11.7902,-1.88601,-1.42715,-0.527256,0.616945,-1.91174,-58.9969,26.8851,-3.61559
1600006,1,146.0,34.625,-10.7933,2.17477,3.14251,-0.574198,0.179405,-1.07271,50.3693,-5.54221,-22.736,37.9375,1.70257,14.1643,-1.52174,0.0599516,-0.0740685,-0.17057,7.81242,-31.866,25.8894,33.75,2.58806,19.2197,-17.1269,0.00202475,-0.168954,-0.200448,-15.1131,-23.3932,-15.7794
1581785,10,128.0,34.9375,-8.91186,3.48369,2.66594,-1.23409,0.418385,0.0277079,19.2983,-21.6215,-10.8959,37.8125,0.409915,10.7911,0.169532,0.259699,1.24707,-0.235416,1.76263,-15.2478,10.3835,34.0,6.13499,4.36588,-0.173307,2.41645,0.746154,-1.22611,-38.7331,29.6052,49.7443
786605,10,118.0,28.25,1.17111,8.53395,-4.97451,0.241653,0.0197613,-0.386192,-1.71905,-19.5187,28.9272,31.875,0.805216,9.06471,-4.34805,0.0786699,0.0535827,0.0147069,-19.3254,-33.998,10.5297,30.125,9.74984,-1.14505,-2.26305,0.0785455,0.0213479,-0.0188575,-36.5516,-1.11897,35.5113
2375971,12,103.0,33.0625,-9.9885,3.57273,3.18834,-0.591221,0.760607,-2.14211,50.3918,-2.31218,-15.8004,38.0625,0.396604,9.49988,-1.45279,0.162608,-0.252679,0.00638664,6.50596,-41.0972,20.0106,32.375,-4.38225,5.62691,-7.08075,0.288239,-0.198033,-1.9133,-13.5122,-37.5943,-1.99961
74137,9,103.0,33.125,2.01561,9.42264,1.77043,0.0276326,-0.0244283,-0.00603901,17.5575,-60.3806,-36.8893,34.75,0.594438,9.65146,-1.21737,-0.00430404,0.0408148,-0.00740866,29.0765,-58.8998,15.2756,33.5,9.57285,-1.95607,-0.446124,-0.00745244,0.0206406,0.00532944,-42.3482,38.6193,-59.8221
1980913,1,136.0,33.3125,-14.2616,3.70883,1.93076,-2.6094,0.140274,0.221365,52.8705,7.47297,-30.9564,36.6875,0.902672,13.9149,-5.36879,-0.116026,0.024456,-0.676617,27.9759,-50.0169,22.4667,35.0625,22.5498,-9.00499,1.9689,-1.84546,0.142906,2.87452,-41.2774,-1.59875,-9.37248
366442,10,151.0,30.3125,-7.99097,2.04104,3.37737,1.56607,0.203878,-0.919459,62.9427,3.57225,-2.11687,33.9375,1.70599,7.53334,-2.08093,0.512239,-0.146079,0.348138,-6.41836,-37.6712,35.1136,33.1875,2.26519,-4.5962,-1.66237,-0.24231,-1.2422,2.02838,-19.3463,-57.6225,-1.12792
